Column 5,Column 6
kuchiki_rukia,bleach
caster,fate_(series)
hosokawa_kanako,maria-sama_ga_miteru
minato,zegapain
matsudaira_touko,maria-sama_ga_miteru
toudou_shimako,maria-sama_ga_miteru
emiya_shirou,fate_(series)
sakuya_(sister_princess),sister_princess
izayoi_sakuya,touhou
shirley_fenette,code_geass
shamal,"""mahou_shoujo_lyrical_nanoha_a's"
henrietta_(gunslinger_girl),gunslinger_girl
andou_mahoro,mahoromatic
ruquia,quiz_magic_academy
leonne,fushigiboshi_no_futago_hime
reinforce,"""mahou_shoujo_lyrical_nanoha_a's"
kikuchi_makoto,idolmaster_1
komaki_ikuno,to_heart_2
wang_liu_mei,gundam_00
fujimura_taiga,fate_(series)
nekomiya_nono,yotsunoha
fuyou_kaede,shuffle!
evangeline_a_k_mcdowell,mahou_sensei_negima!
tonami_yuma,to_heart_2
tsumura_tokiko,busou_renkin
amasawa_yuuko,dennou_coil
shameimaru_aya,touhou
hazuki_(tsukuyomi),tsukuyomi_moonphase
izumi_konata,lucky_star
miakis,gensou_suikoden_v
nia_teppelin,tengen_toppa_gurren_lagann
holo,spice_and_wolf
hyuuga_hinata,naruto_(series)
matou_sakura,fate_(series)
fujiwara_no_mokou,touhou
kobayakawa_yutaka,lucky_star
letty_whiterock,touhou
ana_coppola,ichigo_mashimaro
yoshino_chidori,persona_3
hasegawa_chisame,mahou_sensei_negima!
fujioka_haruhi,ouran_high_school_host_club
senjougahara_hitagi,monogatari_(series)
shirogane_naoto,persona_4
re_mii,zoids_genesis
suzumiya_haruka,kimi_ga_nozomu_eien
klan_klein,macross_frontier
miyako,hidamari_sketch
hirasawa_yui,k-on!
aisaka_taiga,toradora!
miyanaga_saki,saki
kamishirasawa_keine,touhou
takeba_yukari,persona_3
daiyousei,touhou
nagae_iku,touhou
fukube_satoshi,hyouka
faye_valentine,cowboy_bebop
tsukimura_suzuka,mahou_shoujo_lyrical_nanoha_strikers
jakuri,ar_tonelico_ii
hitotsubashi_yurie,kamichu!
saigyouji_yuyuko,touhou
futami_mami,idolmaster_1
shermie,the_king_of_fighters
kooh,pangya
aria_(sister_princess),sister_princess
riesz,seiken_densetsu_3
priest_(ragnarok_online),ragnarok_online
arisa_bannings,mahou_shoujo_lyrical_nanoha
mystia_lorelei,touhou
natsuki_rin,yes!_precure_5
yuno,hidamari_sketch
yagyuu_kyuubei,gintama
lunamaria_hawke,gundam_seed_destiny
illyasviel_von_einzbern,fate_(series)
alicia_florence,aria
kawazoe_tamaki,bamboo_blade
aty_(summon_night),summon_night_3
inaba_tewi,touhou
yagokoro_eirin,touhou
daidouji_kira,arcana_heart
black_rock_shooter_(character),black_rock_shooter
kochiya_sanae,undefined_fantastic_object
aloe_(quiz_magic_academy),quiz_magic_academy
ogata_rina,white_album
rumia,touhou
honma_meiko,ano_hi_mita_hana_no_namae_wo_bokutachi_wa_mada_shiranai.
akechi_kokoro,tantei_opera_milky_holmes
nitta_minami,idolmaster_cinderella_girls
silfa,to_heart_2_ad
ingrid,capcom_fighting_jam
nerine,shuffle!
aerith_gainsborough,final_fantasy_vii
kagami_sumika,muvluv
megurine_luka,vocaloid
mint_blancmanche,galaxy_angel
sanzen'in_nagi,hayate_no_gotoku!
hoshino_ruri,macintosh
shindou_chihiro,ef
arima_senka,original
revy_(black_lagoon),black_lagoon
kirijou_mitsuru,persona_3
seolla_schweizer,super_robot_wars
aika_granzchesta,aria
sawachika_eri,school_rumble
katsura_hinagiku,hayate_no_gotoku!
kagamine_rin,vocaloid
koakuma,touhou
assassin_cross,ragnarok_online
ookami_ryouko,ookami-san
hinanawi_tenshi,touhou
sunohara_mei,clannad
hana_(pangya),pangya
ryougi_mana,kara_no_kyoukai
anegasaki_nene,love_plus
sakamoto_mio,world_witches_series
ushiromiya_ange,umineko_no_naku_koro_ni
takane_manaka,love_plus
aki_minoriko,touhou
saigusa_haruka,little_busters!
yoko_littner,tengen_toppa_gurren_lagann
amae_koromo,saki
moriya_suwako,touhou
hiryuu_(kantai_collection),kantai_collection
kinomoto_sakura,cardcaptor_sakura
hikari_(pokemon),pokemon
osaragi_hazumu,kashimashi
ion,tales_of_the_abyss
white_len,tsukihime
iwakura_lain,serial_experiments_lain
alena_(dq4),dragon_quest_iv
kaminagi_ryouko,zegapain
seto_sun,seto_no_hanayome
archerko,fate_(series)
lilith_aensland,vampire_(game)
tear_grants,tales_of_the_abyss
touka_(utawareru_mono),utawareru_mono
shurelia,ar_tonelico_i
gilgamesh,fate_(series)
yuri_sakazaki,the_king_of_fighters
sengoku_nadeko,monogatari_(series)
takatsuki_yayoi,idolmaster_(classic)
isayama_yomi,ga-rei_zero
index,to_aru_majutsu_no_index
hirasawa_ui,k-on!
matsumae_ohana,hanasaku_iroha
tenryuu_(kantai_collection),kantai_collection
isshiki_iroha,yahari_ore_no_seishun_lovecome_wa_machigatteiru.
yakumo_ran,touhou
minami_kana,minami-ke
tianzi,code_geass
otonashi_kotori,idolmaster_(classic)
ichinose_kotomi,clannad
reiuji_utsuho,touhou
tsurugi_minko,hanasaku_iroha
ikazuchi_(kantai_collection),kantai_collection
kobayakawa_sae,idolmaster_cinderella_girls
yukinoshita_yukino,yahari_ore_no_seishun_lovecome_wa_machigatteiru.
miura_azusa,idolmaster_1
ibuki_fuuko,clannad
irisviel_von_einzbern,fate_(series)
lenna_charlotte_tycoon,final_fantasy_v
simon,tengen_toppa_gurren_lagann
tabitha,zero_no_tsukaima
kageyama_torako,hyakko
rakka,haibane_renmei
kawashima_ami,toradora!
yin,darker_than_black
rita_mordio,tales_of_vesperia
sanya_v_litvyak,world_witches_series
samidare_(kantai_collection),kantai_collection
vita,"""mahou_shoujo_lyrical_nanoha_a's"
aegis_(persona),persona_3
furude_rika,higurashi_no_naku_koro_ni
sheryl_nome,macross_frontier
rydia,final_fantasy_iv
kaga_(kantai_collection),kantai_collection
nishikino_maki,love_live!_school_idol_project
hestia_(danmachi),dungeon_ni_deai_wo_motomeru_no_wa_machigatteiru_darou_ka
djeeta_(granblue_fantasy),granblue_fantasy
azusagawa_tsukino,yakitate!!_japan
yumeko,touhou_(pc-98)
naruko,naruto_(series)
oshino_shinobu,monogatari_(series)
nakano_azusa,k-on!
i-401_(kantai_collection),kantai_collection
taihou_(kantai_collection),kantai_collection
totoki_airi,idolmaster_cinderella_girls
uesugi_u_kyouko,tokyo_7th_sisters
shibuya_rin,idolmaster_cinderella_girls
tsukino_mito,nijisanji
izumi_sagiri,eromanga_sensei
hikari_(xenoblade_2),xenoblade_2
atago_(azur_lane),azur_lane
yukikaze_(kantai_collection),kantai_collection
vajra_(granblue_fantasy),granblue_fantasy
rikku,final_fantasy_x
tainaka_ritsu,k-on!
urakaze_(kantai_collection),kantai_collection
shirayuki_mizore,rosario+vampire
minase_nayuki,kanon
kaenbyou_rin,touhou
ryougi_shiki,kara_no_kyoukai
mahira_(granblue_fantasy),granblue_fantasy
minamoto_no_raikou_(fate/grand_order),fate_(series)
asashimo_(kantai_collection),kantai_collection
houshou_(kantai_collection),kantai_collection
osakabe-hime_(fate/grand_order),fate_(series)
st._louis_(azur_lane),azur_lane
kumashiro_maya,seikimatsu_occult_gakuin
kasumi_(kantai_collection),kantai_collection
tokitsukaze_(kantai_collection),kantai_collection
vira_lilie,granblue_fantasy
tanigawa_kanna,kimi_ga_nozomu_eien
taneshima_popura,working!!
gasai_yuno,mirai_nikki
han_juri,street_fighter_v
z3_max_schultz_(kantai_collection),kantai_collection
ezo_red_fox_(kemono_friends),kemono_friends
rosetta_(granblue_fantasy),granblue_fantasy
arjuna_(fate/grand_order),fate_(series)
merry_nightmare,yumekui_merry
menou_kaname,original
hamakaze_(kantai_collection),kantai_collection
m1903_springfield_(girls_frontline),girls_frontline
nagatoro,ijiranaide_nagatoro-san
ayanami_(kantai_collection),kantai_collection
shimamura_uzuki,idolmaster_cinderella_girls
sagisawa_fumika,idolmaster_cinderella_girls_starlight_stage
kizuna_ai,a.i._channel
cammy_white,street_fighter
chaika_trabant,hitsugi_no_chaika
mash_kyrielight,fate_(series)
prinz_eugen_(azur_lane),azur_lane
yamashiro_(azur_lane),azur_lane
unicorn_(azur_lane),azur_lane
yuudachi_(azur_lane),azur_lane
kanzaki_ranko,idolmaster_cinderella_girls
atalanta_(fate),fate_(series)
yuudachi_(kantai_collection),kantai_collection
miyamoto_musashi_(fate/grand_order),fate_(series)
otokura_yuuki,idolmaster_cinderella_girls
ichinose_shiki,idolmaster_cinderella_girls
jougasaki_mika,idolmaster_cinderella_girls
shirley_medison,shirley_(manga)
ayane_(doa),dead_or_alive
houjuu_nue,touhou
akaza_akari,yuru_yuri
oribe_yasuna,kill_me_baby
hacka_doll_1,hacka_doll
ellen_baker,new_horizon
hoto_cocoa,gochuumon_wa_usagi_desu_ka?
kirima_sharo,gochuumon_wa_usagi_desu_ka?
hoto_mocha,gochuumon_wa_usagi_desu_ka?
takanashi_rikka,chuunibyou_demo_koi_ga_shitai!
shinonome_nano,nichijou
hoshizora_rin,love_live!_school_idol_project
darjeeling,girls_und_panzer
alice_cartelet,kin-iro_mosaic
xia_yu_yao,utau
wakasa_yuuri,gakkou_gurashi!
anastasia_(idolmaster),idolmaster_cinderella_girls
kafuu_chino,gochuumon_wa_usagi_desu_ka?
shidare_hotaru,dagashi_kashi
souseiseki,rozen_maiden
moeta_kaoruko,comic_girls
takanashi_hikari,demi-chan_wa_kataritai
watanabe_you,love_live!_sunshine!!
kawakami_mai,musaigen_no_phantom_world
ayase_eli,love_live!_school_idol_project
sugiura_ayano,yuru_yuri
nakagawa_natsuki,hibike!_euphonium
kujou_karen,pixiv
yang_xiao_long,rwby
tokisaki_kurumi,date_a_live
hume,final_fantasy_xi
sakihata_rimi,chaos;head
ushiromiya_battler,umineko_no_naku_koro_ni
doma_umaru,himouto!_umaru-chan
junko_(touhou),touhou
sasha_braus,shingeki_no_kyojin
manya,dragon_quest_iv
kurodani_yamame,touhou
hijiri_byakuren,touhou
lunasa_prismriver,touhou
